Feature_1,Feature_2,Interaction_Strength,Feature_1_Main,Feature_2_Main,Relative_Strength
bedrooms_filled,bathrooms,4.702805995941162,43.76520919799805,12.385093688964844,0.10745289761481737
accommodates,bedrooms_filled,3.797654390335083,34.364131927490234,43.76520919799805,0.1105089425627133
bedrooms_filled,neighborhood_price_mean,3.6956892013549805,43.76520919799805,26.205886840820312,0.08444161075581635
accommodates,bathrooms,2.970498561859131,34.364131927490234,12.385093688964844,0.08643931785644897
longitude,distance_from_center,2.148057460784912,4.215747833251953,19.5621280670166,0.5094109360408046
bedrooms_filled,distance_from_center,1.7455413341522217,43.76520919799805,19.5621280670166,0.039883311032385835
bathrooms,neighborhood_price_mean,1.7018688917160034,12.385093688964844,26.205886840820312,0.13740158394185661
longitude,neighborhood_price_mean,1.4948376417160034,4.215747833251953,26.205886840820312,0.3545001268342825
latitude,neighborhood_price_mean,1.247212290763855,6.78519344329834,26.205886840820312,0.18378672833081866
accommodates,neighborhood_price_mean,1.2321633100509644,34.364131927490234,26.205886840820312,0.03585504378830279
latitude,longitude,1.2206419706344604,6.78519344329834,4.215747833251953,0.17987137867988381
bedrooms_filled,bathrooms_per_bedroom,1.1761362552642822,43.76520919799805,2.0837700366973877,0.026873158009720455
latitude,distance_from_center,1.1455397605895996,6.78519344329834,19.5621280670166,0.16880446603255464
amenity_count,has_dishwasher,1.0405561923980713,5.688477516174316,7.868259906768799,0.18289134449339658
has_dishwasher,neighborhood_price_mean,1.0149470567703247,7.868259906768799,26.205886840820312,0.1289761767682004
accommodates,review_recency,0.9423052072525024,34.364131927490234,8.418960571289062,0.027420386723401743
distance_from_center,neighborhood_price_mean,0.9256833791732788,19.5621280670166,26.205886840820312,0.04731775900061602
neighborhood_price_mean,reviews_per_month,0.8757041692733765,26.205886840820312,4.875715255737305,0.03341503989361163
accommodates,avg_review_score,0.8717215657234192,34.364131927490234,7.010324001312256,0.025366454799671218
distance_from_center,availability_365,0.8274918794631958,19.5621280670166,8.74464225769043,0.042298546358664674
distance_from_center,reviews_per_month,0.8248360753059387,19.5621280670166,4.875715255737305,0.04216279076026757
neighborhood_price_mean,availability_365,0.7972952127456665,26.205886840820312,8.74464225769043,0.03042311807535206
avg_review_score,review_recency,0.7784693837165833,7.010324001312256,8.418960571289062,0.11103029664167326
bedrooms_filled,has_dishwasher,0.7764428853988647,43.76520919799805,7.868259906768799,0.0177406930969562
bedrooms_filled,has_tv,0.7693369388580322,43.76520919799805,5.453918933868408,0.017578331616008983
accommodates,distance_from_center,0.7463094592094421,34.364131927490234,19.5621280670166,0.021717054972585026
has_dishwasher,distance_from_center,0.6945339441299438,7.868259906768799,19.5621280670166,0.08825911869203044
accommodates,booking_rate_proxy,0.6623741388320923,34.364131927490234,5.119451999664307,0.019274599039214777
accommodates,availability_365,0.6592261791229248,34.364131927490234,8.74464225769043,0.019182995732822426
