Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Overfit,Test_MAE
Ridge,0.5081008252129404,0.5193614194759274,105.5332760581452,103.75218893185311,-0.011260594262986978,64.53753335563178
RF_Tuned,0.6688996565475693,0.6099929993921565,86.58271275624,93.45965106400996,0.05890665715541288,54.78093542928182
XGBoost,0.7325879144119174,0.6637725791728168,77.81115980447736,86.77697733993763,0.06881533523910055,50.27852311848026
XGB_Best,0.8862043580444822,0.6882640852391484,50.75913215199149,83.55671812797178,0.19794027280533377,48.31459863194706
Ensemble,0.7715635320203046,0.655865685372873,71.91741875801769,87.7913937218513,0.11569784664743155,51.068929930372775
